lsoacode_2011,totalpop_2015
E01000001,1296
E01000002,1156
E01000003,1350
E01000005,1121
E01032739,802
E01032740,962
E01000006,2040
E01000007,2101
E01000008,1566
E01000009,1775
E01000010,3195
E01000011,1670
E01000012,2023
E01000013,1747
E01000014,1669
E01000015,2372
E01000016,1750
E01000017,1516
E01000018,1791
E01000019,1498
E01000020,1947
E01000021,1682
E01000022,1372
E01000023,2791
E01000024,1535
E01000025,1637
E01000027,1858
E01000028,1629
E01000029,1737
E01000030,2155
E01000031,1716
E01000032,1755
E01000033,1520
E01000034,1502
E01000035,1799
E01000036,1493
E01000037,1931
E01000038,1446
E01000039,1657
E01000040,1711
E01000041,1755
E01000042,1986
E01000043,1516
E01000044,1895
E01000045,1710
E01000046,1963
E01000048,1757
E01000049,1923
E01000050,1933
E01000051,1144
E01000052,2134
E01000053,1670
E01000054,1831
E01000055,1684
E01000056,1666
E01000057,1557
E01000058,2022
E01000059,1635
E01000060,1955
E01000061,1854
E01000062,2228
E01000063,1793
E01000064,2107
E01000065,1692
E01000066,2132
E01000067,2149
E01000068,1523
E01000069,1882
E01000070,2154
E01000071,2541
E01000072,2112
E01000073,1780
E01000074,1610
E01000075,1777
E01000076,2047
E01000077,1487
E01000078,1826
E01000079,1662
E01000080,1651
E01000081,1831
E01000082,1953
E01000083,1888
E01000084,1355
E01000085,1829
E01000086,1383
E01000087,1447
E01000088,2060
E01000089,1879
E01000090,1683
E01000091,2081
E01000092,4485
E01000093,1719
E01000094,2120
E01000095,1871
E01000096,1667
E01000097,1815
E01000098,1814
E01000099,2258
E01000100,1744
E01000101,1545
E01000102,1441
E01000103,1500
E01000104,1811
E01000105,2314
E01000106,2159
E01000107,1719
E01000108,1750
E01000109,1871
E01000110,1491
E01000111,1997
E01000112,2058
E01000113,1703
E01000114,2290
E01032580,1394
E01033587,2086
E01033588,1761
E01000115,1375
E01000116,1737
E01000117,1842
E01000118,2134
E01000119,1702
E01000120,1435
E01000121,1498
E01000122,1462
E01000123,1761
E01000124,1696
E01000125,3196
E01000126,2338
E01000127,1546
E01000128,1921
E01000129,1812
E01000130,1771
E01000131,1819
E01000132,1557
E01000133,1674
E01000134,1743
E01000135,1616
E01000136,1559
E01000137,1756
E01000138,1492
E01000139,1532
E01000140,1836
E01000141,2273
E01000142,2563
E01000143,1467
E01000144,1763
E01000145,1652
E01000146,1814
E01000147,1876
E01000148,2649
E01000150,2246
E01000151,1747
E01000152,1764
E01000153,1867
E01000154,1345
E01000155,3602
E01000156,2097
E01000157,1600
E01000158,1588
E01000159,1828
E01000160,1978
E01000161,2407
E01000162,1683
E01000163,1709
E01000164,1858
E01000165,1892
E01000166,1640
E01000167,1361
E01000168,1614
E01000169,1602
E01000170,1707
E01000171,1999
E01000172,1707
E01000173,1790
E01000174,1875
E01000175,1568
E01000176,1651
E01000177,1746
E01000178,1817
E01000179,1754
E01000180,1718
E01000181,1746
E01000182,1919
E01000183,1502
E01000184,1645
E01000185,1547
E01000186,1680
E01000187,1766
E01000188,1581
E01000189,1481
E01000190,1645
E01000191,1559
E01000192,2022
E01000193,1910
E01000194,1839
E01000195,2007
E01000196,2008
E01000197,1889
E01000198,2065
E01000199,1636
E01000200,1940
E01000201,1582
E01000202,1766
E01000203,1824
E01000204,1737
E01000205,1610
E01000206,1538
E01000207,1572
E01000208,1644
E01000209,1502
E01000210,1571
E01000211,2240
E01000212,1489
E01000213,1405
E01000214,1760
E01000215,2222
E01000216,2082
E01000217,1830
E01000218,1946
E01000219,1982
E01000220,2075
E01000221,1372
E01000222,1733
E01000223,1381
E01000224,1653
E01000225,1979
E01000226,1792
E01000227,1944
E01000228,1518
E01000229,1767
E01000230,1867
E01000231,2003
E01000232,1983
E01000233,1884
E01000234,1819
E01000235,1816
E01000236,1956
E01000237,2138
E01000238,2035
E01000239,2018
E01000240,1751
E01000241,1794
E01000242,1722
E01000243,1891
E01000244,1680
E01000245,2173
E01000246,1546
E01000247,1764
E01000248,1779
E01000249,1522
E01000250,2660
E01000251,2030
E01000252,1719
E01000253,1648
E01000254,1596
E01000255,1400
E01000256,1887
E01000257,1868
E01000258,1767
E01000259,2721
E01000260,2064
E01000261,1681
E01000262,2455
E01000263,1575
E01000264,1816
E01000265,2006
E01000266,1508
E01000267,1538
E01000268,1980
E01000269,1481
E01000270,1517
E01000271,1580
E01000272,1322
E01000273,1547
E01000274,1955
E01000275,1717
E01000276,1494
E01000277,1918
E01000278,1511
E01000279,1511
E01000280,1364
E01000281,976
E01000282,1814
E01000283,1405
E01000284,1767
E01000285,1382
E01000286,1670
E01000287,1667
E01000288,1641
E01000289,1907
E01000290,1614
E01000291,1647
E01000292,1571
E01000293,1787
E01000294,1827
E01000295,1731
E01000296,1790
E01000297,1551
E01000298,1932
E01000299,1991
E01000300,1689
E01000301,1520
E01000302,2119
E01000303,1663
E01000304,1672
E01000305,1850
E01000306,1677
E01000307,1640
E01000308,1706
E01000309,1889
E01000310,2093
E01000311,1745
E01000312,1766
E01000313,2149
E01000314,1985
E01000315,1768
E01000316,2475
E01000317,1655
E01000318,1903
E01000319,1601
E01000320,1581
E01000321,1766
E01000322,1844
E01000323,2269
E01000324,1895
E01033572,2292
